game,home_team,fifth_player
200701220LAL,12,297
200611160GSW,8,319
200704070ORL,20,185
200703040BOS,1,380
200704070ORL,20,426
200703120MEM,13,419
200612010MIN,16,431
200701230ORL,20,426
200611210LAL,12,404
200611200UTA,28,374
200612160NYK,19,410
200612270MEM,13,419
200702270CLE,4,386
200703130SEA,26,359
200611030DEN,6,451
200611010CHA,2,360
200702250ATL,0,290
200611210DEN,6,451
200701110CHI,3,441
200702100UTA,28,337
200611250CLE,4,456
200703020NYK,19,412
200701120PHI,21,450
200703100IND,10,434
200704030MIL,15,378
200703270NOK,18,357
200611030IND,10,409
200702270MIL,15,378
200611300LAL,12,387
200702050ATL,0,435
200612020GSW,8,434
200703160PHO,22,348
200702030MIL,15,378
200611040DET,7,420
200701300CLE,4,386
200702020DET,7,420
200703050MIA,14,438
200611110CLE,4,456
200702050MIA,14,438
200611080WAS,29,161
200704150ORL,20,426
200701020ORL,20,432
200612040WAS,29,197
200701100MIN,16,366
200704090NYK,19,412
200612310HOU,9,428
200704060BOS,1,392
200703210BOS,1,338
200703030MEM,13,419
200612270ATL,0,406
200701120ATL,0,405
200703210TOR,27,418
200611070CLE,4,259
200704130TOR,27,418
200611040HOU,9,428
200703310CHI,3,436
200612010WAS,29,161
200612160ATL,0,403
200611290DAL,5,211
200701100HOU,9,428
200703270NOK,18,437
200703070PHI,21,415
200612080MIN,16,366
200704060DEN,6,411
200704120LAL,12,404
200703130DEN,6,325
200701100DET,7,420
200703140CHA,2,391
200611220LAC,11,383
200702090TOR,27,418
200702280CHI,3,441
200701120NYK,19,410
200702280BOS,1,338
200612190PHO,22,413
200611010GSW,8,319
200611290ATL,0,455
200701050HOU,9,428
200703200CHA,2,446
200612110MIA,14,302
200701310ATL,0,407
200701220TOR,27,356
200611250CHA,2,360
200704040LAC,11,424
200703020PHI,21,450
200702140TOR,27,320
200611100CHA,2,391
200702260SEA,26,354
200702220CLE,4,259
200703120GSW,8,319
200611210LAL,12,444
200702110PHI,21,384
200612290WAS,29,161
200701020DAL,5,224
200612270SAC,24,343
200611290LAC,11,424
200701240NYK,19,342
200702280BOS,1,380
200611040HOU,9,452
200701120DEN,6,451
200704150GSW,8,319
200611070LAL,12,444
200702280MEM,13,335
200701100HOU,9,428
200612260SEA,26,359
200612010POR,23,430
200702090DAL,5,173
200612040SAC,24,398
200703090ATL,0,455
200704170DET,7,373
200704070ORL,20,426
200611220PHO,22,401
200703260NYK,19,410
200704040HOU,9,452
200702060POR,23,454
200612220ATL,0,403
200611240MEM,13,379
200704130MIN,16,431
200611220MIN,16,433
200612270ATL,0,406
200701200NOK,18,357
200612280SAS,25,423
200703210ATL,0,435
200612130ORL,20,432
200701140TOR,27,356
200704090GSW,8,409
200703230GSW,8,319
200702070WAS,29,161
200703200UTA,28,374
200701230LAC,11,424
200701290DEN,6,325
200704100ATL,0,455
200702140DET,7,420
200612090GSW,8,319
200611120LAL,12,297
200611240MEM,13,379
200612110PHI,21,450
200612040SAS,25,292
200611070MEM,13,379
200702020BOS,1,380
200701200CHI,3,329
200703090PHO,22,348
200704150LAL,12,376
200612100TOR,27,418
200612290NOK,18,437
200703060NYK,19,412
200701100GSW,8,319
200612070DAL,5,224
200702060MIL,15,378
200703080ORL,20,432
200612150MEM,13,313
200612100TOR,27,439
200612080SAS,25,427
200702250MIA,14,438
200612200SEA,26,269
200704170ATL,0,435
200611220DET,7,420
200702200NYK,19,410
200611290UTA,28,374
200612020MEM,13,417
200611180ATL,0,455
200704150LAC,11,424
200612230CHI,3,436
200703110BOS,1,392
200701040SAC,24,301
200702140PHI,21,384
200703240MIA,14,438
200701120LAL,12,404
200702250ATL,0,290
200611220SAC,24,398
200612120HOU,9,452
200704160MIA,14,302
200611040CHA,2,391
200612200PHI,21,369
200611150ORL,20,234
200704070DAL,5,296
200612180SAC,24,398
200612220DEN,6,361
200701220MIA,14,438
200702270MIL,15,378
200703030CLE,4,386
200704070MIL,15,378
200703280DEN,6,325
200703180NYK,19,412
200612280DEN,6,451
200703250ATL,0,455
200703170WAS,29,161
200702110SAC,24,301
200703160MIA,14,205
200703100MIL,15,378
200704180ORL,20,432
200704030MIA,14,438
200611120LAL,12,404
200704040MIL,15,378
200703020LAL,12,387
200611070MIA,14,438
200703310CHI,3,329
200703250IND,10,434
200701120IND,10,409
200704120CLE,4,386
200703170CLE,4,456
200702210PHI,21,384
200610310MIA,14,438
200702120DEN,6,361
200702030HOU,9,414
200611300LAL,12,297
200611280HOU,9,452
200703050MIA,14,397
200702130MEM,13,419
200701280CLE,4,259
200703170DEN,6,411
200612100TOR,27,320
200703210CLE,4,386
200612260DAL,5,224
200612230NOK,18,279
200701110PHO,22,348
200701240CHA,2,446
200612260SEA,26,359
200704040POR,23,430
200612150UTA,28,337
200612200SEA,26,326
200611220CHA,2,360
200704060NYK,19,410
200701250CHI,3,329
200701170POR,23,393
200702070DAL,5,224
200612020HOU,9,452
200611100NJN,17,365
200703300SEA,26,354
200704180SAC,24,343
200611280POR,23,454
200612160ATL,0,403
200612060CLE,4,456
200612220POR,23,430
200612140GSW,8,310
200704030MIA,14,397
200611080SAS,25,427
200703060SAC,24,398
200704060HOU,9,395
200704070IND,10,434
200702030MEM,13,417
200611100NJN,17,442
200612040SAS,25,292
200611250CHA,2,360
200611220ORL,20,426
200611020DAL,5,224
200702140LAC,11,424
200611080LAC,11,399
200701130MIN,16,351
200704090NYK,19,284
200701300CLE,4,386
200701020CLE,4,456
200702010MIA,14,397
200703060NYK,19,412
200704180CHA,2,341
200612020MEM,13,417
200702260NYK,19,322
200702250MIN,16,366
200702060POR,23,454
200701100WAS,29,161
200612090NJN,17,442
200701090MEM,13,419
200703160LAL,12,404
200701310CHA,2,360
200702250ORL,20,432
200704010MIL,15,274
200701060NOK,18,437
200703140PHI,21,450
200612290LAC,11,424
200701060CHI,3,329
200701240SAS,25,427
200703180PHI,21,384
200703100WAS,29,161
200612010POR,23,454
200701070MEM,13,417
200612220NYK,19,410
200703020SAS,25,427
200701070LAL,12,404
200701050WAS,29,161
200611150SAS,25,427
200611250GSW,8,434
200702070MIN,16,431
200702230NJN,17,442
200612180MEM,13,313
200612220POR,23,454
200702020DET,7,420
200703280DAL,5,224
200702210GSW,8,409
200703310CHI,3,329
200612110PHI,21,415
200702060MIL,15,378
200611070NOK,18,357
200704150LAL,12,271
200703300CHA,2,446
200611060LAC,11,383
200701290UTA,28,346
200704070MIL,15,378
200701150ATL,0,377
200701280CLE,4,259
200702040NJN,17,442
200703230CLE,4,456
200702020PHI,21,450
200702280MEM,13,379
200611060CHI,3,329
200703100IND,10,434
200701100SEA,26,269
200701190BOS,1,392
200703260PHO,22,413
200612020MEM,13,379
200703220CHI,3,329
200704030SAS,25,303
200701140TOR,27,418
200612300CHI,3,329
200612110MIA,14,200
200704090MIL,15,274
200612030PHI,21,450
200703250NOK,18,437
200703200HOU,9,452
200703050UTA,28,295
200704130DAL,5,296
200612310LAC,11,424
200703020TOR,27,418
200611200NYK,19,412
200701050NJN,17,365
200611280POR,23,430
200611220CHA,2,360
200612270TOR,27,418
200611260SEA,26,359
200704150WAS,29,197
200701090IND,10,409
200701060DEN,6,451
200703280WAS,29,197
200703170MIL,15,318
200701280BOS,1,445
200703220HOU,9,452
200701300CLE,4,388
200703140BOS,1,349
200701270IND,10,402
200611150SAC,24,375
200702140SEA,26,359
200611010PHO,22,401
200702120DEN,6,325
200704140POR,23,430
200702090TOR,27,320
200703200PHO,22,413
200703250SAC,24,398
200704060WAS,29,153
200703070DET,7,373
200701060NOK,18,437
200703310CHI,3,436
200612280DEN,6,361
200611100CHA,2,391
200701030MEM,13,379
200703110POR,23,430
200701260LAL,12,376
200611300MIA,14,205
200701240CHA,2,391
200701160DAL,5,224
200701140POR,23,393
200702010MIA,14,397
200703300DAL,5,224
200611030SAS,25,427
200701200LAC,11,424
200704150IND,10,310
200612100SEA,26,354
200701170MEM,13,379
200612160MIA,14,438
200611050NOK,18,437
200611030DEN,6,451
200704060NOK,18,357
200702150HOU,9,428
200611130BOS,1,445
200612090CHI,3,272
200612180DEN,6,451
200704010BOS,1,380
200703210CLE,4,386
200702200SAC,24,398
200704030CHA,2,293
200704040NJN,17,442
200611010CLE,4,456
200704100CHA,2,446
200703220MEM,13,335
200612080BOS,1,425
200704060SEA,26,354
200701010CHA,2,391
200704130MIA,14,397
200704150IND,10,434
200611180WAS,29,197
200701060DEN,6,451
200702140CHA,2,360
200612270POR,23,454
200611010BOS,1,445
200612170LAC,11,399
200701020NOK,18,437
200612020CHI,3,436
200704060CHA,2,446
200701030BOS,1,445
200612290DET,7,364
200703050UTA,28,295
200704180ORL,20,432
200702220WAS,29,161
200703250SAC,24,398
200612200POR,23,430
200703220PHO,22,413
200702270NJN,17,442
200704130CHI,3,436
200612220MIN,16,431
200612130NYK,19,362
200611240ATL,0,406
200703030DAL,5,224
200612300IND,10,209
200703300DET,7,420
200612270SAC,24,375
200612080ORL,20,432
200612080IND,10,409
200702150HOU,9,395
200701060DEN,6,361
200704040HOU,9,452
200612020LAC,11,424
200701220BOS,1,392
200612200LAC,11,399
200612040CHI,3,436
200703070TOR,27,320
200703020CHI,3,272
200703080SAC,24,309
200704040ORL,20,185
200612010SEA,26,359
200611250HOU,9,428
200704070SAS,25,427
200702110PHI,21,384
200702110IND,10,358
200701090UTA,28,299
200703210SAS,25,303
200703160LAL,12,404
200702230LAL,12,394
200612220ATL,0,455
200701120GSW,8,319
200704060NYK,19,410
200701150CHI,3,436
200612040SAS,25,427
200702100UTA,28,337
200611170BOS,1,445
200704080LAL,12,404
200612050NJN,17,442
200612220NJN,17,365
200701300CLE,4,456
200612310DEN,6,361
200703090ATL,0,455
200611170MEM,13,258
200611080TOR,27,418
200704130SAC,24,398
200703030POR,23,454
200612210SAC,24,309
200612090DAL,5,224
200703070UTA,28,346
200612230PHI,21,384
200611180ATL,0,435
200701210MIA,14,438
200611270UTA,28,337
200611100LAL,12,444
200611100WAS,29,306
200611180WAS,29,161
200701240NYK,19,322
200612020HOU,9,440
200612230CHI,3,436
200701290MIN,16,431
200611120POR,23,454
200702230NJN,17,442
200701240IND,10,434
200612200NJN,17,442
200612150BOS,1,445
200703050ORL,20,432
200701280MIL,15,378
200611010GSW,8,434
200701220BOS,1,380
200703230CLE,4,456
200612220NOK,18,437
200701110CHI,3,272
200612090GSW,8,434
200704080LAL,12,404
200612260PHO,22,348
200703170DEN,6,411
200702210GSW,8,409
200702050UTA,28,299
200612220CHA,2,360
200611210CLE,4,386
200701120SEA,26,359
200701150NJN,17,442
200612150IND,10,409
200702230NOK,18,437
200702010PHO,22,401
200612280DEN,6,451
200611150NYK,19,412
200702230NJN,17,442
200702080SAC,24,309
200704060DEN,6,411
200612100CHA,2,391
200701200IND,10,434
200611030LAL,12,404
200611050NOK,18,357
200703110BOS,1,392
200611170BOS,1,425
200703220MEM,13,379
200701190PHO,22,413
200704040DEN,6,281
200701120MEM,13,379
200611050NOK,18,357
200701120IND,10,385
200704070IND,10,434
200701270IND,10,434
200702080SAC,24,309
200702250MIN,16,431
200703300LAL,12,404
200701050MIL,15,378
200704130TOR,27,418
200611070MEM,13,313
200611010DET,7,420
200703060POR,23,430
200703070PHI,21,384
200701230LAC,11,424
200703300MIN,16,353
200703130ATL,0,455
200611140MIA,14,189
200612310LAC,11,399
200703070UTA,28,299
200703050DET,7,364
200612270CHA,2,446
200612310LAL,12,444
200702220CLE,4,259
200703250LAL,12,404
200701110PHO,22,413
200702250IND,10,310
200702210HOU,9,395
200701030MIN,16,431
200611260POR,23,430
200612050HOU,9,452
200612040SAS,25,292
200703090ATL,0,405
200701280BOS,1,445
200703110POR,23,430
200703200UTA,28,299
200702250MIN,16,366
200612290MIA,14,438
200701040DAL,5,204
200702240DAL,5,224
200612270CHA,2,293
200702260MEM,13,419
200701010CHA,2,360
200701310NOK,18,357
200703090PHI,21,384
200704140MEM,13,419
200701170MEM,13,379
200703110CLE,4,386
200702060MEM,13,313
200612220ATL,0,403
200702210NJN,17,442
200611280NJN,17,442
200611180DET,7,373
200611270UTA,28,337
200612020HOU,9,452
200611110MIL,15,411
200703250SAC,24,375
200611160GSW,8,319
200704080TOR,27,418
200612270LAC,11,424
200612120GSW,8,319
200701030HOU,9,428
200704100WAS,29,153
200612150UTA,28,337
200611010BOS,1,392
200612230PHI,21,384
200703260MIA,14,397
200611010GSW,8,319
200704070LAC,11,344
200703020MIA,14,205
200703050MIA,14,189
200704080MIA,14,438
200703200MEM,13,419
200704060SAC,24,398
200703280UTA,28,299
200612290WAS,29,161
200703280CHA,2,360
200612180SAC,24,398
200611200CHA,2,391
200703090BOS,1,392
200703030NJN,17,283
200611120POR,23,454
200704110POR,23,430
200611220SAC,24,398
200701130UTA,28,299
200611120LAL,12,404
200702140NOK,18,437
200703040SEA,26,359
200701300NYK,19,410
200704060BOS,1,392
200703300LAL,12,404
200703010POR,23,454
200701200HOU,9,347
200611010UTA,28,295
200611210DAL,5,204
200701120POR,23,454
200611080NJN,17,283
200612290HOU,9,414
200701200CHI,3,329
200704130LAC,11,424
200703060POR,23,454
200703270IND,10,434
200611060UTA,28,295
200703160GSW,8,409
200611260TOR,27,356
200701190BOS,1,380
200611190LAL,12,404
200703220CHI,3,329
200612260UTA,28,374
200703020NYK,19,410
200701310ATL,0,435
200701100MIL,15,411
200701130SAS,25,427
200611240IND,10,409
200612110PHI,21,369
200702200SEA,26,359
200703230SAS,25,427
200702060DET,7,364
200703240MIA,14,438
200702280CHI,3,314
200704090NYK,19,412
200612290DET,7,420
200612060CHI,3,436
200703300ORL,20,426
200702050WAS,29,161
200611220ORL,20,432
200701220MIA,14,205
200611180ORL,20,432
200612160NOK,18,357
200704100WAS,29,370
200612060CHA,2,446
200701010CHA,2,360
200612060CLE,4,259
200612040SAS,25,427
200703240LAC,11,424
200703180MIA,14,397
200701270ATL,0,455
200701030HOU,9,428
200703250IND,10,434
200701090UTA,28,337
200611180NJN,17,324
200611260POR,23,430
200611180UTA,28,299
200612160CHA,2,360
200611110MIN,16,431
200702130CHI,3,276
200704100CHI,3,329
200701060CHI,3,272
200702280HOU,9,428
200611120POR,23,430
200612070SAC,24,398
200612020CHI,3,421
200612130CLE,4,259
200701080CHI,3,276
200703230BOS,1,349
200702210ATL,0,382
200703250ATL,0,435
200701050MIL,15,318
200701310LAC,11,424
200612270MEM,13,379
200704160MIA,14,397
200611150SAC,24,309
200612110NOK,18,437
200703250IND,10,310
200612130WAS,29,161
200701220SAC,24,301
200701310MIN,16,431
200611220LAC,11,424
200612310DEN,6,281
200701120ATL,0,403
200702070BOS,1,445
200702110IND,10,310
200612160MIA,14,438
200611170SEA,26,359
200702240UTA,28,337
200701290MIN,16,431
200612220ORL,20,432
200704160UTA,28,299
200704180ORL,20,426
200702050PHI,21,415
200611250ORL,20,432
200702050IND,10,358
200704040ORL,20,426
200612180DEN,6,451
200704170WAS,29,197
200703180MIA,14,302
200703050UTA,28,299
200701230WAS,29,161
200612200BOS,1,380
200702020BOS,1,380
200611210CLE,4,386
200703030CLE,4,386
200702060MIL,15,151
200702080NOK,18,357
200704100ATL,0,455
200701200HOU,9,428
200702050ATL,0,406
200704160MEM,13,419
200612300DAL,5,224
200704060SEA,26,354
200704130MIN,16,431
200611290LAC,11,424
200701300IND,10,358
200703090ATL,0,435
200701310ORL,20,234
200612130CHI,3,272
200703060MIN,16,366
200702230MIN,16,431
200701300NYK,19,410
200701270DAL,5,224
200612220DAL,5,224
200612220MIN,16,431
200703110POR,23,454
200612200NJN,17,365
200612290TOR,27,418
200612020GSW,8,319
200611170BOS,1,349
200704060SAC,24,398
200701100MIN,16,431
200703300SAS,25,423
200612230CHI,3,272
200701100DAL,5,211
200612210SAC,24,343
200703160CHA,2,360
200611110CHI,3,247
200704180SAS,25,292
200612160CHA,2,360
200611110GSW,8,434
200702110IND,10,310
200704060ATL,0,435
200612110NYK,19,410
200612170LAC,11,399
200704080TOR,27,418
200612010MIN,16,431
200701120IND,10,409
200701230CHI,3,436
200612020NYK,19,410
200611110PHO,22,413
200701200HOU,9,428
200702140MIN,16,431
200701100HOU,9,428
200612130CHI,3,421
200701260MIL,15,151
200703130CLE,4,456
200611270UTA,28,295
200611180NYK,19,412
200701130CHA,2,360
200612130WAS,29,197
200701150NYK,19,410
200703140CHA,2,391
200703170MEM,13,335
200612060NYK,19,412
200703220MEM,13,419
200702090GSW,8,409
200701240SAC,24,398
200701080DEN,6,451
200701100MIN,16,431
200612180NYK,19,410
200703190ATL,0,455
200701190ATL,0,455
200702280PHI,21,450
200612200PHI,21,450
200611080ORL,20,426
200702140CHA,2,446
200612310HOU,9,428
200702280MEM,13,379
200704180NJN,17,442
200703160DAL,5,211
200703280SAS,25,427
200612160NYK,19,410
200701170TOR,27,418
200702090BOS,1,380
200701190SEA,26,326
200701050SEA,26,359
200703140ORL,20,432
200702280NOK,18,357
200702010PHO,22,413
200611250NYK,19,410
200703250MIN,16,431
200701260HOU,9,428
200611150NYK,19,412
200701180MIA,14,302
200703140ORL,20,426
200703120CHA,2,391
200703260HOU,9,452
200610310MIA,14,189
200701060CHI,3,272
200702120UTA,28,337
200702260UTA,28,337
200704070LAC,11,199
200611160HOU,9,428
200701240NYK,19,362
200701310NJN,17,442
200612150CHI,3,436
200701090SAC,24,309
200703030LAC,11,449
200702140ORL,20,234
200611020DAL,5,224
200704130DAL,5,296
200704180SAC,24,398
200701190ATL,0,405
200612220SAS,25,292
200701050SAS,25,423
200611030GSW,8,319
200612080CHA,2,391
200701100DAL,5,224
200701230LAC,11,424
200702100NJN,17,442
200702210LAL,12,404
200703090BOS,1,349
200612140GSW,8,319
200703200DET,7,420
200703290CHI,3,436
200704070DAL,5,204
200702070WAS,29,161
200703210SEA,26,354
200704030LAL,12,404
200703160LAL,12,404
200701170LAC,11,268
200703240MIA,14,438
200704040ORL,20,426
200703170IND,10,434
200701300IND,10,434
200611180DEN,6,451
200702070DEN,6,411
200612220PHO,22,413
200701090SAS,25,427
200704130MIN,16,431
200701300MIA,14,302
200702210ATL,0,455
200702210ATL,0,455
200703070PHO,22,413
200612220POR,23,454
200704040HOU,9,395
200611140HOU,9,452
200612010WAS,29,197
200703130CLE,4,396
200612290POR,23,430
200702230CHA,2,446
200704080DET,7,364
200701220IND,10,434
200704150WAS,29,370
200702030DAL,5,211
200703010POR,23,393
200701130SAS,25,427
200702070CLE,4,456
200702110WAS,29,306
200611050SEA,26,359
200611080POR,23,454
200611120CHA,2,391
200704090DEN,6,411
200703110TOR,27,418
200702280SAC,24,398
200701120MEM,13,335
200702260SEA,26,359
200703020LAL,12,404
200612090CHI,3,421
200611210DAL,5,211
200703310POR,23,430
200703100SAS,25,368
200611020LAC,11,383
200611240MEM,13,379
200612220ATL,0,455
200702010MIA,14,397
200702150HOU,9,428
200701280LAL,12,444
200611180DEN,6,281
200703030LAC,11,449
200704080TOR,27,418
200611010CLE,4,259
200702270CLE,4,386
200701070LAL,12,387
200612180NJN,17,442
200612040CHI,3,314
200704060MEM,13,419
200612040UTA,28,337
200701240UTA,28,337
200701060GSW,8,319
200701050MIN,16,431
200612290MIA,14,205
200612010ATL,0,455
200703290GSW,8,409
200611290SEA,26,359
200704160NYK,19,412
200611060SAC,24,375
200702080NOK,18,437
200701190BOS,1,380
200612160MIL,15,378
200612060LAL,12,444
200611160GSW,8,319
200703280NJN,17,442
200704180CLE,4,386
200702070WAS,29,161
200612230MEM,13,335
200612090ORL,20,432
200611100NJN,17,442
200702100NOK,18,437
200611240ATL,0,435
200612270POR,23,454
200703140BOS,1,349
200702080NOK,18,357
200702110MIN,16,431
200612120MIL,15,378
200702070IND,10,434
200611060SAC,24,398
200703070DET,7,420
200612100LAL,12,297
200703060MIN,16,366
200704040DET,7,373
200703310CHI,3,436
200704040DEN,6,361
200703120PHO,22,413
200702020PHI,21,369
200611200MEM,13,254
200611040UTA,28,299
200611040CHA,2,391
200702030POR,23,289
200703030CLE,4,386
200703190NOK,18,279
200611270MIA,14,438
200612160CHA,2,360
200702050HOU,9,395
200701290NOK,18,437
200612120ATL,0,455
200703100MIL,15,378
200704010LAL,12,404
200702240LAC,11,399
200701120BOS,1,392
200701070LAL,12,404
200704060CHI,3,421
200702030MEM,13,379
200611110PHO,22,401
200703020PHI,21,450
200612080ORL,20,432
200704130MIN,16,431
200704010TOR,27,418
200611270MIA,14,438
200703010POR,23,454
200704110PHO,22,413
200612270SAC,24,309
200703100CHA,2,391
200611290CLE,4,456
200703180DET,7,420
200703150MIL,15,378
200702230LAL,12,376
200704040LAC,11,424
200611260LAL,12,404
200612130SAS,25,427
200612230PHI,21,415
200611070CLE,4,259
200611120LAL,12,404
200612080PHI,21,415
200612230DET,7,448
200611210LAL,12,444
200611250DAL,5,211
200611170SEA,26,359
200612200SAS,25,427
200612170TOR,27,320
200611100BOS,1,445
200612080SAS,25,427
200704060ATL,0,435
200611010ORL,20,246
200701050SAS,25,427
200701260UTA,28,374
200702120UTA,28,346
200704130NOK,18,357
200701170SAS,25,427
200611140UTA,28,374
200611280NJN,17,442
200702120DEN,6,411
200701120SEA,26,359
200701280SEA,26,307
200704010ATL,0,435
200612160MIL,15,378
200702230DEN,6,325
200703230CLE,4,386
200702280CHI,3,329
200701030MIN,16,366
200612130IND,10,409
200612090NJN,17,442
200611090GSW,8,434
200612100LAL,12,404
200702130MIA,14,438
200704080LAL,12,404
200704110BOS,1,392
200704160UTA,28,374
200704100CHA,2,446
200612170TOR,27,320
200702110CLE,4,386
200701190MIN,16,366
200702260LAC,11,424
200702240CHA,2,360
200611120MIA,14,397
200702020ORL,20,426
200701120IND,10,409
200702200SEA,26,359
200702030WAS,29,370
200703220NYK,19,410
200612230HOU,9,395
200702080NOK,18,437
200703180NJN,17,365
200704050SAS,25,427
200703300CHA,2,446
200612050SEA,26,354
200612120GSW,8,319
200612080PHI,21,369
200701200HOU,9,395
200703160LAL,12,404
200704170ATL,0,435
200704030SAC,24,309
200611030SAS,25,368
200612260SAS,25,427
200704030LAL,12,394
200611250NYK,19,412
200612090NYK,19,410
200704110MIN,16,366
200612140NOK,18,282
200703230SEA,26,326
200702210GSW,8,319
200701060GSW,8,319
200704060CHI,3,421
200704010IND,10,402
200612060CLE,4,456
200612270TOR,27,221
200701310MEM,13,335
200701120DEN,6,451
200704180NJN,17,442
200701310LAC,11,424
200611200MEM,13,313
200704180BOS,1,380
200612260MIN,16,431
200703260HOU,9,452
200612230MEM,13,335
200612150WAS,29,161
200701190SAS,25,427
200702200LAC,11,424
200611240ATL,0,455
200702250GSW,8,385
200702270CLE,4,456
200701050SEA,26,326
200611280NJN,17,442
200612180NJN,17,442
200702210PHI,21,415
200612290MIN,16,431
200703160LAL,12,404
200612260WAS,29,197
200702020SEA,26,359
200701260SAS,25,427
200612230CLE,4,456
200704010ORL,20,432
200703280WAS,29,161
200611010CHA,2,360
200704140UTA,28,374
200702250MIA,14,438
200611180GSW,8,310
200704110BOS,1,392
200701240UTA,28,337
200612220ATL,0,406
200611100PHI,21,450
200611030BOS,1,445
200611170PHO,22,401
200611010DET,7,420
200704150GSW,8,319
200703100WAS,29,161
200612180MEM,13,379
200702090PHI,21,450
200704060NOK,18,357
200702260NYK,19,362
200701100GSW,8,319
200701310NJN,17,442
200701130SAS,25,368
200611210IND,10,409
200612060LAL,12,404
200701070ORL,20,432
200611140HOU,9,452
200702200WAS,29,161
200701020DEN,6,451
200612280SAS,25,427
200701280SEA,26,359
200611240PHO,22,413
200704150LAC,11,344
200703300MIN,16,366
200702100MIL,15,318
200703100IND,10,434
200611010CLE,4,259
200612150PHO,22,413
200702050ATL,0,455
200701050MIN,16,431
200701100ATL,0,406
200612230CHI,3,436
200703020MIA,14,438
200611200UTA,28,337
200612080ORL,20,185
200611260DEN,6,281
200611070MEM,13,417
200703260CHI,3,329
200701280BOS,1,445
200611260DEN,6,451
200703220NYK,19,412
200701150DET,7,420
200704030MIN,16,353
200704060NYK,19,362
200702070DEN,6,411
200702050SAC,24,309
200702140SEA,26,354
200701020DEN,6,451
200611170LAL,12,297
200701150DET,7,420
200703280CHA,2,446
200703230ATL,0,455
200612290CLE,4,259
200702070DAL,5,211
200612130MIA,14,367
200704070IND,10,402
200702130LAL,12,404
200704080LAL,12,404
200701100ATL,0,406
200701190ATL,0,403
200701310LAC,11,399
200703050DET,7,420
200612110PHI,21,450
200611220SAC,24,398
200701030HOU,9,395
200702230ATL,0,455
200702210HOU,9,395
200702140DET,7,420
200703020DEN,6,451
200611080DEN,6,451
200611280NOK,18,437
200701190ATL,0,405
200612290NOK,18,437
200703240UTA,28,299
200612130NYK,19,410
200704180NJN,17,442
200702210LAL,12,387
200611250SAC,24,309
200704130SAC,24,398
200703200NJN,17,442
200702260PHI,21,415
200703040WAS,29,197
200704170WAS,29,197
200612080MIL,15,378
200703180LAL,12,404
200612290CHA,2,446
200704150LAC,11,424
200612010PHO,22,413
200703270LAL,12,404
200612120MIL,15,411
200611100BOS,1,445
200701050TOR,27,356
200704110MIA,14,302
200702130HOU,9,428
200704100WAS,29,197
200611170CLE,4,386
200704070SAS,25,427
200612220POR,23,454
200611260POR,23,454
200701310BOS,1,380
200701120IND,10,385
200701310ORL,20,426
200702100DET,7,420
200701220IND,10,327
200703170DEN,6,411
200611080ORL,20,426
200704030SAS,25,427
200612310DET,7,420
200612270CHI,3,436
200611280SAC,24,242
200612010DAL,5,164
200701140TOR,27,418
200612150CHI,3,436
200611250ORL,20,432
200611010ORL,20,246
200611200NYK,19,342
200611030MIA,14,438
200702110PHO,22,401
200703180NJN,17,442
200701040DAL,5,224
200701020ORL,20,426
200702260UTA,28,337
200703130SAS,25,427
200703130CHI,3,436
200612010DET,7,373
200702140TOR,27,418
200701130LAC,11,424
200612160NYK,19,410
200701220LAL,12,404
200702240UTA,28,374
200612180MEM,13,335
200612250MIA,14,302
200612110PHI,21,384
200704130BOS,1,392
200612310DEN,6,451
200701280LAL,12,297
200703020LAL,12,404
200612290CLE,4,456
200701110PHO,22,401
200702240LAC,11,424
200703210ATL,0,290
200612040UTA,28,299
200704110DET,7,373
200612130CLE,4,259
200702060POR,23,454
200701170LAC,11,344
200703070PHO,22,413
200703020MIN,16,431
200702260UTA,28,374
200704070LAC,11,344
200702070IND,10,434
200704070ORL,20,432
200702210NJN,17,316
200612030PHI,21,384
200612120HOU,9,440
200611240BOS,1,349
200611250NYK,19,410
200703140IND,10,434
200611220MIN,16,366
200701310MIN,16,431
200611250HOU,9,452
200704160MEM,13,419
200701030HOU,9,428
200702260NYK,19,410
200611120CHA,2,391
200703290CHI,3,436
200703310NJN,17,283
200612290PHO,22,413
200704040NYK,19,410
200612080MIN,16,431
200701290UTA,28,337
200612300CHI,3,329
200704180ORL,20,426
200612100CHA,2,391
200701150WAS,29,161
200611030DEN,6,281
200703020TOR,27,418
200702050WAS,29,161
200612020NJN,17,365
200704010MIL,15,378
200702040CLE,4,456
200701100DEN,6,361
200612100SEA,26,354
200701070MIN,16,431
200701220CLE,4,386
200701140POR,23,454
200703210SEA,26,354
200704090DAL,5,224
200702270CLE,4,386
200611300MIA,14,438
200611170MIA,14,447
200612160MIA,14,302
200612260DAL,5,224
200703110TOR,27,227
200612160SAS,25,427
200701280MIL,15,318
200702280CHI,3,436
200612080BOS,1,349
200701160DAL,5,211
200612080MIL,15,411
200612090CHI,3,329
200703250MIN,16,366
200704100CHI,3,329
200611030GSW,8,434
200702030DAL,5,224
200612020SAS,25,427
200704060CHI,3,421
200612020SAS,25,427
200612290MIN,16,433
200703060POR,23,430
200612050HOU,9,428
200703300DET,7,420
200704130SAC,24,398
200611010CHA,2,391
200612290PHO,22,413
200704130LAC,11,199
200612030PHI,21,384
200702250IND,10,358
200703180PHI,21,450
200701050MEM,13,417
